Kode_Wisata,Jumlah_Ulasan,Latitude,Longitude,Image
WS00040,4929,-6.733415886,108.5857803,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Pantai%20Kejawanan%20-%201.jpg?raw=true
WS00041,904,-6.77317267,108.4839784,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Hutan%20Kera%20Plangon%20-%201.jpeg?raw=true
WS00042,12209,-6.737125268,108.5427902,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Gua%20Sunyaragi%20-%201.jpg?raw=true
WS00043,12382,-6.153287358,106.9758186,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Transera%20Waterpark%20-%201.jpg?raw=true
WS00044,2588,-6.392883602,107.1028504,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Taman%20Buaya%20Bekasi%20-%201.jpg?raw=true
WS00045,2976,-6.295048761,107.2408215,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Kawung%20Tilu%20-%201.jpg?raw=true
WS00046,378,-5.92287995,107.0473078,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Pantai%20Muara%20Gembong%20-1.jpg?raw=true
WS00047,7729,-6.311313937,107.1801838,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Taman%20Sehati%20-%202.jpg?raw=true
WS00048,5556,-6.246651648,107.0519945,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Museum%20Juang%20-%202.jpg?raw=true
WS00049,10205,-6.297592858,107.0509386,https://raw.githubusercontent.com/desyendriani/MDS_Kelompok_6/refs/heads/main/Image/Go!%20Wet%20Waterpark%20-%201.webp
WS00050,347,-6.296967712,107.0458989,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Situ%20Cibeureum%20-%202.jpeg?raw=true
WS00051,20,-6.455736336,107.1904566,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Buper%20Karang%20Kitri%20-%201.jpg?raw=true
WS00052,240,-6.462164123,107.1709824,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Situ%20Abidin%20-%201.jpg?raw=true
WS00053,339,-6.627933715,106.9912788,https://raw.githubusercontent.com/desyendriani/MDS_Kelompok_6/refs/heads/main/Image/Situ%20Rawa%20Gede%20-%201.webp
WS00054,775,-6.795619561,107.5757778,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Curug%20Pelangi%20-%201.jpg?raw=true
WS00055,17876,-6.78497926,107.6516019,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Grafika%20Cikole%20-%201.jpg?raw=true
WS00056,66368,-6.832697358,107.6055647,https://raw.githubusercontent.com/desyendriani/MDS_Kelompok_6/refs/heads/main/Image/Farmhouse%20Lembang%20-%201.webp
WS00057,0,-6.789538916,107.5792056,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Dusun%20Bambu%20-%202.jpg?raw=true
WS00058,133,-6.697929796,106.4402778,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Gunung%20Halimun%20-%201.jpeg?raw=true
WS00059,18668,-6.369938766,106.8933485,https://raw.githubusercontent.com/desyendriani/MDS_Kelompok_6/refs/heads/main/Image/Taman%20Wiladatika%20-%201.webp
WS00060,6617,-6.370546905,106.7450924,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Godong%20Ijo%20-%201.jpg?raw=true
WS00061,7073,-6.415700383,106.784514,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/D'Kandang%20Amazing%20Farm%20-%201.jpg?raw=true
WS00062,5905,-6.394337603,106.8088735,https://raw.githubusercontent.com/desyendriani/MDS_Kelompok_6/refs/heads/main/Image/Taman%20Lembah%20Gurame%20-%201.avif
WS00063,4664,-6.888778693,107.5365264,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Taman%20Kartini%20-%201.png?raw=true
